day	hour	min	second	price	volume
5	9	30	0	38	200
5	9	30	0	38.78	2130
5	9	30	0	38.78	2130
5	9	30	5	38.53	100
5	9	30	7	38.53	100
5	9	30	12	38.52	100
5	9	30	12	38.51	100
5	9	30	12	38.48	100
5	9	30	12	38.5	100
5	9	30	12	38.5	300
5	9	30	12	38.41	100
5	9	30	12	38.31	66700
5	9	30	12	38.22	100
5	9	30	12	38.25	200
5	9	30	12	38.25	400
5	9	30	12	38.25	100
5	9	30	12	38.25	100
5	9	30	12	38.25	200
5	9	30	12	38.25	100
5	9	30	12	38.21	100
5	9	30	12	38.25	100
5	9	30	12	38.24	100
5	9	30	12	38.24	100
5	9	30	12	38.23	200
5	9	30	12	38.22	200
5	9	30	12	38.22	100
5	9	30	12	38.19	100
5	9	30	12	38.19	100
5	9	30	12	38.16	300
5	9	30	13	38.16	200
5	9	30	13	38.23	100
5	9	30	13	38.48	100
5	9	30	13	38.34	100
5	9	30	13	38.3	100
5	9	30	13	38.25	100
5	9	30	13	38.26	100
5	9	30	13	38.25	100
5	9	30	13	38.25	100
5	9	30	13	38.26	100
5	9	30	13	38.25	100
5	9	30	13	38.25	100
5	9	30	13	38.25	300
5	9	30	13	38.25	100
5	9	30	13	38.25	400
5	9	30	13	38.25	300
5	9	30	13	38.25	100
5	9	30	14	38.25	100
5	9	30	14	38.28	300
5	9	30	14	38.27	100
5	9	30	16	38.25	100
5	9	30	16	38.18	100
5	9	30	18	38.31	125
5	9	30	18	38.31	816
5	9	30	18	38.31	360
5	9	30	18	38.31	100
5	9	30	18	38.31	360
5	9	30	18	38.31	501
5	9	30	18	38.31	100
5	9	30	18	38.31	152
5	9	30	18	38.31	763
5	9	30	18	38.31	100
5	9	30	18	38.31	100
5	9	30	18	38.31	1000
5	9	30	18	38.31	1000
5	9	30	19	38.18	104
5	9	30	19	38.2677	1000
5	9	30	19	38.18	100
5	9	30	20	38.18	100
5	9	30	20	38.18	100
5	9	30	20	38.18	200
5	9	30	20	38.1	100
5	9	30	21	38.1	400
5	9	30	21	38.1	354
5	9	30	21	38.25	200
5	9	30	21	38.1	146
5	9	30	22	38.14	100
5	9	30	22	38.06	200
5	9	30	22	38.06	100
5	9	30	22	38.07	100
5	9	30	22	38.07	100
5	9	30	22	38.06	100
5	9	30	22	38.08	100
5	9	30	22	38.2034	300
5	9	30	22	38.18	300
5	9	30	23	38.16	100
5	9	30	23	38.16	600
5	9	30	23	38.16	100
5	9	30	24	38.05	100
5	9	30	24	38.07	100
5	9	30	24	38.03	100
5	9	30	25	38.11	200
5	9	30	25	38.02	100
5	9	30	25	38.02	100
5	9	30	25	38.02	300
5	9	30	26	38.04	100
5	9	30	26	38.04	100
5	9	30	27	38.07	100
5	9	30	27	38.07	100
5	9	30	27	38.04	100
5	9	30	27	38.02	200
5	9	30	27	38.02	100
5	9	30	28	38.03	100
5	9	30	28	38.06	100
5	9	30	31	38.2501	200
5	9	30	31	38.2501	100
5	9	30	32	38.02	100
5	9	30	33	38.02	100
5	9	30	33	38.01	100
5	9	30	33	38.1801	200
5	9	30	33	38.1801	100
5	9	30	35	38.1	300
5	9	30	36	38.1	400
5	9	30	36	38.09	100
5	9	30	37	38.09	100
5	9	30	40	38.1	100
5	9	30	44	38.1	100
5	9	30	45	38.07	100
5	9	30	46	38.05	200
5	9	30	47	38.07	100
5	9	30	47	38.09	100
5	9	30	47	38.06	100
5	9	30	47	38.06	300
5	9	30	48	38.08	100
5	9	30	49	38.07	200
5	9	30	49	38.09	100
5	9	30	51	38.09	100
5	9	30	51	38.16	100
5	9	30	51	38.06	100
5	9	30	51	38.1	100
5	9	30	51	38.14	100
5	9	30	51	38.11	900
5	9	30	51	38.14	100
5	9	30	51	38.15	100
5	9	30	53	38.15	100
5	9	30	56	38.2	100
5	9	30	56	38.1302	1000
5	9	31	5	38.17	100
5	9	31	10	38.17	200
5	9	31	16	38.2	100
5	9	31	17	38.2	100
5	9	31	18	38.2	300
5	9	31	18	38.19	100
5	9	31	18	38.19	100
5	9	31	18	38.2	200
5	9	31	18	38.18	100
5	9	31	18	38.18	600
5	9	31	19	38.2	100
5	9	31	19	38.13	100
5	9	31	20	38.17	130
5	9	31	20	38.17	100
5	9	31	20	38.16	100
5	9	31	21	38.17	100
5	9	31	21	38.2	858
5	9	31	21	38.17	200
5	9	31	21	38.18	300
5	9	31	22	38.1716	300
5	9	31	23	38.19	100
5	9	31	27	38.19	170
5	9	31	27	38.18	100
5	9	31	28	38.2	300
5	9	31	29	38.21	1000
5	9	31	30	38.26	100
5	9	31	34	38.21	518
5	9	31	34	38.2	100
5	9	31	34	38.2	200
5	9	31	34	38.19	500
5	9	31	34	38.19	1000
5	9	31	35	38.21	100
5	9	31	36	38.17	200
5	9	31	36	38.21	100
5	9	31	36	38.21	100
5	9	31	36	38.17	200
5	9	31	36	38.2	100
5	9	31	36	38.21	200
5	9	31	38	38.19	100
5	9	31	38	38.18	100
5	9	31	38	38.19	100
5	9	31	38	38.19	100
5	9	31	38	38.18	200
5	9	31	38	38.19	100
5	9	31	38	38.19	100
5	9	31	39	38.21	100
5	9	31	40	38.17	100
5	9	31	40	38.17	100
5	9	31	40	38.18	100
5	9	31	41	38.18	100
5	9	31	41	38.2	100
5	9	31	41	38.2	200
5	9	31	41	38.17	100
5	9	31	42	38.15	100
5	9	31	44	38.17	200
5	9	31	45	38.2	200
5	9	31	45	38.17	100
5	9	31	45	38.17	200
5	9	31	46	38.17	100
5	9	31	46	38.17	100
5	9	31	47	38.17	100
5	9	31	47	38.16	200
5	9	31	49	38.16	100
5	9	31	49	38.15	200
5	9	31	49	38.14	400
5	9	31	50	38.14	100
5	9	31	51	38.16	100
5	9	31	51	38.17	100
5	9	31	52	38.17	100
5	9	31	52	38.17	700
5	9	31	52	38.17	100
5	9	31	54	38.16	100
5	9	31	54	38.17	100
5	9	31	54	38.17	100
5	9	31	54	38.17	100
5	9	31	54	38.17	100
5	9	31	54	38.17	100
5	9	31	55	38.17	100
5	9	31	55	38.17	100
5	9	31	55	38.17	800
5	9	31	55	38.18	700
5	9	31	57	38.1	100
5	9	31	57	38.11	100
5	9	31	59	38.15	100
5	9	32	3	38.11	200
5	9	32	5	38.06	100
5	9	32	5	38.08	100
5	9	32	5	38.04	100
5	9	32	6	38.04	100
5	9	32	6	38.04	100
5	9	32	8	38.04	100
5	9	32	8	38.04	100
5	9	32	8	38.04	100
5	9	32	8	38.04	100
5	9	32	8	38.04	100
5	9	32	8	38.04	100
5	9	32	8	38.04	100
5	9	32	8	38.04	400
5	9	32	8	38.04	1100
5	9	32	9	38.0301	3000
5	9	32	9	38.03	100
5	9	32	10	38.04	100
5	9	32	10	38.04	200
5	9	32	10	38.02	102
5	9	32	10	38.02	100
5	9	32	10	38.02	100
5	9	32	10	38.02	200
5	9	32	13	38.04	100
5	9	32	16	38.02	100
5	9	32	18	38.02	100
5	9	32	18	38.02	200
5	9	32	18	38.03	100
5	9	32	18	38.02	100
5	9	32	18	38.02	198
5	9	32	18	38.02	600
5	9	32	18	38.02	900
5	9	32	18	38.02	500
5	9	32	18	38.02	400
5	9	32	19	38.03	100
5	9	32	19	38.02	100
5	9	32	19	38.03	200
5	9	32	19	38.04	100
5	9	32	19	38.01	200
5	9	32	19	38.01	100
5	9	32	20	38.01	600
5	9	32	20	38.01	100
5	9	32	20	38.0051	100
5	9	32	20	38	9500
5	9	32	20	38	100
5	9	32	20	38	100
5	9	32	20	38	200
5	9	32	20	38.01	300
5	9	32	20	38.01	100
5	9	32	20	38.01	100
5	9	32	20	38	100
5	9	32	20	38	100
5	9	32	20	38	100
5	9	32	20	38	100
5	9	32	20	38	200
5	9	32	20	38	100
5	9	32	20	38	300
5	9	32	20	38	712
5	9	32	20	38	100
5	9	32	20	38	200
5	9	32	20	38	605
5	9	32	20	38	100
5	9	32	20	38	400
5	9	32	20	38	125
5	9	32	20	38	300
5	9	32	20	38	250
5	9	32	20	38	130
5	9	32	20	38	300
5	9	32	20	38	120
5	9	32	20	38	500
5	9	32	20	38	160
5	9	32	20	38	100
5	9	32	20	38	200
5	9	32	20	38	200
5	9	32	20	38	100
5	9	32	20	38	900
5	9	32	21	38	100
5	9	32	21	38	247
5	9	32	21	38	100
5	9	32	21	38	100
5	9	32	21	38	1000
5	9	32	21	38	100
5	9	32	21	38	200
5	9	32	21	37.995	200
5	9	32	21	37.99	600
5	9	32	21	38.01	100
5	9	32	21	38	100
5	9	32	21	37.95	100
5	9	32	21	37.95	100
5	9	32	21	37.95	100
5	9	32	21	37.99	400
5	9	32	21	38	128
5	9	32	21	38	100
5	9	32	21	38	175
5	9	32	21	38	100
5	9	32	22	37.95	100
5	9	32	22	37.95	250
5	9	32	22	37.95	100
5	9	32	22	37.95	124
5	9	32	22	37.95	325
5	9	32	22	37.96	100
5	9	32	22	37.9599	500
5	9	32	22	37.95	483
5	9	32	23	37.95	100
5	9	32	23	37.95	100
5	9	32	23	37.94	100
5	9	32	23	37.93	100
5	9	32	23	37.94	100
5	9	32	23	37.93	100
5	9	32	23	37.93	100
5	9	32	23	37.925	1000
5	9	32	24	37.93	1600
5	9	32	24	37.925	100
5	9	32	24	37.93	200
