day	hour	min	second	price	volume
3	9	30	0	40.23	1055
3	9	30	0	40.23	1055
3	9	30	6	40.52	100
3	9	30	11	40.52	100
3	9	30	11	40.55	100
3	9	30	11	40.52	100
3	9	30	11	40.48	100
3	9	30	11	40.51	100
3	9	30	12	40.48	100
3	9	30	13	40.47	100
3	9	30	13	40.47	100
3	9	30	13	40.48	100
3	9	30	13	40.5	200
3	9	30	13	40.5	100
3	9	30	13	40.5	100
3	9	30	14	40.5	100
3	9	30	15	40.5	100
3	9	30	15	40.49	100
3	9	30	15	40.5	100
3	9	30	15	40.47	100
3	9	30	15	40.48	100
3	9	30	15	40.49	200
3	9	30	15	40.5	500
3	9	30	15	40.47	100
3	9	30	29	40.49	100
3	9	30	31	40.46	100
3	9	30	34	40.5	200
3	9	30	34	40.82	100
3	9	30	38	40.44	100
3	9	30	38	40.44	200
3	9	30	39	40.24	100
3	9	30	39	40.42	100
3	9	30	40	40.23	100
3	9	30	40	40.21	100
3	9	30	40	40.2	100
3	9	30	40	40.01	100
3	9	30	40	40.05	44500
3	9	30	40	40.01	400
3	9	30	40	40.01	200
3	9	30	40	40	130
3	9	30	40	40	200
3	9	30	40	40.37	100
3	9	30	40	40.25	300
3	9	30	40	40.25	600
3	9	30	40	40.04	300
3	9	30	40	40.04	200
3	9	30	40	40.04	100
3	9	30	40	40	400
3	9	30	40	40	200
3	9	30	40	40	570
3	9	30	40	39.94	400
3	9	30	40	39.94	100
3	9	30	40	40	200
3	9	30	40	40	1200
3	9	30	40	40	400
3	9	30	40	40	100
3	9	30	41	40.23	100
3	9	30	41	40.01	200
3	9	30	41	40	200
3	9	30	41	40	100
3	9	30	42	40.24	100
3	9	30	42	40.24	100
3	9	30	42	40.02	100
3	9	30	42	40.04	500
3	9	30	42	40.04	100
3	9	30	43	40.01	100
3	9	30	44	40	100
3	9	30	45	40	100
3	9	30	45	40	350
3	9	30	45	40	100
3	9	30	46	40.05	100
3	9	30	46	40.05	100
3	9	30	47	39.95	200
3	9	30	47	39.97	200
3	9	30	47	40.01	100
3	9	30	47	40.01	100
3	9	30	47	40.07	100
3	9	30	47	40.07	100
3	9	30	49	40.02	100
3	9	30	52	40.24	400
3	9	30	55	40.1	100
3	9	30	55	40.1	100
3	9	30	56	40.06	100
3	9	30	58	40.03	100
3	9	30	58	39.94	100
3	9	30	58	39.94	300
3	9	30	58	40.03	100
3	9	30	58	40.03	200
3	9	31	1	40.03	200
3	9	31	2	40.03	100
3	9	31	2	40.03	200
3	9	31	2	40.03	100
3	9	31	2	40.03	100
3	9	31	2	40.03	300
3	9	31	6	40.05	100
3	9	31	6	40.05	100
3	9	31	6	40.01	200
3	9	31	6	40.01	200
3	9	31	6	40.01	200
3	9	31	6	40.01	100
3	9	31	6	40.01	800
3	9	31	7	40	200
3	9	31	7	40	500
3	9	31	7	40	500
3	9	31	7	39.99	500
3	9	31	7	39.99	100
3	9	31	9	40.04	200
3	9	31	9	40.08	100
