ABT LLY MRK PFE F GM BP CVX RD XOM SP5
-0.0453366666666667 -0.0848366666666667 -0.0741066666666667 -0.0207566666666667 -0.000636666666666666 -0.0211566666666667 0.0452633333333333 -0.0192866666666667 -0.0160466666666667 -0.0663666666666667 -0.0751866666666667
-0.01991 -0.04352 -0.06008 -0.13638 0.06022 0.08965 -0.01009 0.00776 -0.03088 0.00632 0.00209
0.0187566666666667 0.0638066666666667 0.0164466666666667 0.0209566666666667 0.0205866666666667 0.0156966666666667 -0.0456833333333333 -0.000993333333333333 0.0101066666666667 -0.0252033333333333 0.0176766666666667
0.015125 0.016735 0.047485 -0.070395 -0.056735 -0.041895 -0.077905 -0.030545 -0.050805 -0.025445 -0.033365
0.11527 0.18312 0.12939 0.16492 0.03888 0.10937 0.11931 0.06679 0.08132 0.06758 0.08554
0.0887183333333333 0.0558583333333333 0.0418983333333333 -0.0330116666666667 -0.0579316666666667 -0.0270116666666667 -0.00832166666666667 -0.00108166666666667 -0.0259816666666667 -0.00904166666666667 -0.0153316666666667
0.05975 -0.00485 0.02103 0.17494 -0.04064 -0.02735 0.11395 0.13255 0.10162 0.0772 -0.01157
-0.0866683333333333 -0.0988783333333333 -0.0840783333333333 -0.0609983333333333 -0.165848333333333 -0.137578333333333 0.111961666666667 -0.0502983333333333 -0.0376883333333333 -0.0307883333333333 -0.100518333333333
-0.0280033333333333 -0.0543833333333333 -0.0735133333333333 -0.0114133333333333 -0.120833333333333 -0.0941833333333333 -0.0654933333333333 -0.0308433333333333 -0.0294533333333333 -0.0261333333333333 -0.0573133333333333
0.047315 -0.063665 0.003875 0.024115 -0.082895 0.007815 -0.002735 -0.085365 0.002145 -0.005975 -0.012675
0.0581366666666667 0.0948266666666667 0.116066666666667 0.112326666666667 -0.0193933333333333 0.00772666666666667 0.0457266666666667 0.0311766666666667 0.0214966666666667 0.0409566666666667 0.0540466666666667
0.0259033333333333 -0.0123966666666667 0.0429033333333333 -0.00561666666666667 -0.0330166666666667 -0.0638366666666667 -0.0476766666666667 0.0337433333333333 -0.0197266666666667 0.0166033333333333 0.0192133333333333
-0.0338533333333333 0.0596666666666667 0.0128966666666667 0.107816666666667 0.0746266666666667 0.0493666666666667 -0.0767233333333333 -0.0223933333333333 -0.0465233333333333 -0.00760333333333333 0.0363366666666667
0.06114 0.01428 0.11117 0.17068 0.16023 0.09574 0.07386 0.0602 0.07631 0.07582 0.06233
0.030115 -0.014415 0.033605 0.014125 -0.012585 -0.049225 -0.086575 0.018335 -0.041735 0.056295 0.017275
0.0551916666666667 -0.0238783333333333 0.0166216666666667 0.0139816666666667 0.0115116666666667 -0.0576883333333333 0.0223216666666667 0.0108716666666667 0.0510216666666667 0.0123816666666667 -0.00435833333333333
0.01026 0.0378 0.0987 0.08178 0.13007 0.21293 -0.03221 -0.04978 0.01338 -0.0143 0.03403
0.00265833333333333 -0.100551666666667 -0.0230616666666667 -0.0619616666666667 -0.0283716666666667 -0.0597116666666667 -0.0560216666666667 -0.0520216666666667 -0.0595216666666667 -0.00679166666666667 -0.0525316666666667
0.04124 0.05796 0.10407 0.11021 -0.06298 -0.02919 0.08819 0.02022 0.05825 0.01686 0.04021
0.00251833333333333 0.101938333333333 -0.0141116666666667 0.0594783333333333 -0.0753416666666667 -0.0384016666666667 0.0277983333333333 0.00179833333333333 -0.0196116666666667 -0.0121016666666667 0.0152083333333333
-0.01126 -0.05495 0.02127 -0.01008 -0.04049 -0.0208 -0.00261 0.02004 0.01489 0.01711 -0.02349
0.0932916666666667 -0.0402083333333333 0.0506016666666667 0.0956516666666667 -0.0866583333333333 -0.0643583333333333 -0.0371983333333333 0.0128516666666667 -0.00415833333333333 0.0210516666666667 0.00770166666666667
-0.02503 -0.0412 0.06268 -0.07249 -0.11901 -0.11697 -0.05501 -0.09979 -0.04244 -0.03175 -0.04773
0.191838333333333 0.132658333333333 0.138398333333333 0.262148333333333 0.168488333333333 -0.0643716666666667 0.0120483333333333 0.0303183333333333 0.105928333333333 0.0349883333333333 0.108198333333333
-0.0721366666666667 -0.0585566666666667 -0.0594766666666667 -0.134116666666667 0.0955033333333333 0.118043333333333 -0.0506966666666667 -0.0810666666666667 -0.0785266666666667 -0.0462866666666667 -0.0230666666666667
-0.00711 -0.04694 -1.99999999999996e-05 0.02242 0.20172 0.16746 -0.08304 -0.02167 -0.03455 -0.01101 0.00636
-0.0446266666666667 -0.0551166666666667 -0.0656066666666667 -0.0704766666666667 0.0408533333333333 -0.0266966666666667 -0.0540866666666667 0.0351733333333333 -0.0146966666666667 -0.0449466666666667 -0.0251966666666667
0.083765 -0.034815 -0.017565 0.025655 0.189705 0.129985 0.090335 0.086715 0.091805 0.092765 0.024765
0.006445 -0.035025 0.039215 0.045855 -0.025065 -0.042185 0.047505 0.032105 0.059645 0.019395 -0.002065
-0.10999 -0.01631 -0.03074 -0.02483 0.03075 0.11043 -0.20844 -0.06435 0.01289 0.01757 -0.02041
0.023455 0.081775 0.061425 0.070955 0.003315 -0.056655 0.036485 0.062625 0.008735 0.023585 0.036695
0.00151166666666667 -0.0726983333333333 -0.0604383333333333 -0.0122383333333333 -0.111898333333333 -0.161168333333333 -0.0349283333333333 0.0387216666666667 0.0256016666666667 0.0205416666666667 -0.0266083333333333
-0.076195 -0.040815 -0.087255 -0.034785 -0.033095 -0.074625 -0.020845 0.006075 0.025065 -0.008265 0.006685
0.0294766666666667 -0.0183533333333333 -0.0164233333333333 0.00932666666666667 -0.0682033333333333 -0.0451833333333333 -0.0533233333333333 -0.0445433333333333 -0.0981433333333333 -0.0434833333333333 -0.000273333333333333
0.0577316666666667 0.0205116666666667 0.0258816666666667 0.0353416666666667 0.148071666666667 0.0526716666666667 -0.0105883333333333 -0.0226783333333333 -0.00411833333333333 -0.0194283333333333 0.0276516666666667
